job_skills,skill_id
Machine Learning,1
Programming,2
Python,3
Scala,4
Java,5
Data Engineering,6
Distributed Computing,7
Statistical Modeling,8
Optimization,9
Data Pipelines,10
Cloud Computing,11
DevOps,12
Software Development,13
Data Gathering,14
Data Preparation,15
Data Visualization,16
Machine Learning Frameworks,17
scikitlearn,18
PyTorch,19
Dask,20
Spark,21
TensorFlow,22
Distributed File Systems,23
Multi node Database Paradigms,24
Open Source ML Software,25
Responsible AI,26
Explainable AI,27
C++,28
MXNet,29
CUDA,30
OpenCL,31
OpenVX,32
Halide,33
SIMD programming models,34
MLspecific accelerators,35
Linux/unix environments,36
Deep learning frameworks,37
Computer vision deep learning models,38
ML software and hardware technology,39
Inference on edge platforms,40
Cloud ML training pipelines,41
HPC experience,42
Performance troubleshooting,43
Profiling,44
Roofline model,45
Analytical skills,46
Communication skills,47
ETL,48
Data Integration,49
Data Transformation,50
Data Warehousing,51
Business Intelligence,52
Data Modeling,53
Data Architecture,54
Data Quality,55
Data Validation,56
Data Cleansing,57
Performance Optimization,58
Performance Tuning,59
Troubleshooting,60
Documentation,61
Reporting,62
Data Analysis,63
Collaboration,64
Communication,65
SQL,66
Informatica,67
Talend,68
Apache NiFi,69
AWS Redshift,70
Azure SQL Data Warehouse,71
Financial/Banking,72
CloudBased Data Platforms,73
Regulatory Compliance,74
Data Lakes,75
Data Bricks,76
Azure Data Factory Pipelines,77
Data Warehouse,78
SQL Server,79
Azure,80
ETL/ELT,81
SQL Server Integration Services,82
TSQL,83
Data Formatting,84
Data Capture,85
Data Search,86
Data Retrieval,87
Data Extraction,88
Data Classification,89
Information Filtering,90
Data Mining Architectures,91
Modeling Standards,92
Data Analysis Methodologies,93
Database File Systems Optimization,94
API's,95
Analytics as a Service,96
Relational Databases,97
Dimensional Databases,98
Entity Relationships,99
Facts,100
Dimensions,101
Star Schema Concepts,102
Star Schema Terminology,103
Project Management,104
Organizational Skills,105
Technical Presentaion Skills,106
12+ Years of Relevant Experience,107
RDBMS,108
NoSQL,109
Redshift,110
Snowflake,111
Unit testing,112
Agile engineering,113
Big data technologies,114
Cloud computing (AWS Microsoft Azure Google Cloud),115
Distributed data/computing tools (MapReduce Hadoop Hive EMR Kafka Spark Gurobi MySQL),116
Realtime data and streaming applications,117
NoSQL implementation (Mongo Cassandra),118
Data warehousing (Redshift Snowflake),119
UNIX/Linux,120
Shell scripting,121
Data Warehouse (DW),122
Extract/Transform/Load (ETL),123
Oracle,124
VPD,125
MuleSoft,126
Cloudera Apache Hadoop Ecosystem,127
Hadoop,128
R,129
AI/ML,130
Predictive Analytics,131
Business Objects,132
Tableau,133
OBIA/OBIEE,134
Oracle Cloud Financials,135
Power Designer,136
Erwin,137
UNIX,138
ODBC,139
JDBC,140
Perl DBI,141
Shell Scripting,142
PL/SQL,143
SQL Developer,144
SQL Plus,145
SQL Loader,146
TOAD,147
Data Profiling,148
SourceTarget Mapping,149
Transformations,150
Business Rules,151
OWB,152
ODI,153
Data Stage,154
Unix Server,155
Windows Workstation,156
Windows Server,157
Microsoft Office,158
Excel,159
Analytic Skills,160
ProblemSolving,161
Communication Skills,162
Teamwork,163
Accountability,164
Attention to Detail,165
Accuracy,166
Generative AI,167
Cloudbased services,168
Risk management,169
Project management,170
Process management,171
Data model,172
PRIME system,173
Lean,174
Green Belt Certification,175
CRISC,176
CISM,177
CRCM,178
CIPP,179
ABA Risk Management Certification,180
Compliance,181
Legal,182
Regulatory,183
Operations,184
Cybersecurity,185
Data Loss Prevention (DLP),186
Web Proxy,187
Email,188
Endpoint Solutions,189
Symantec Data Loss Prevention (DLP),190
Agile Delivery,191
Public Cloud Security,192
MultiCloud Environments,193
IT Delivery Projects,194
JIRA,195
Cloud Certifications (AWS),196
Security Certifications (CISSP),197
Computer Science,198
Systems Engineering,199
Software Development Practices,200
Platform Engineering,201
Problem solving,202
Data analysis,203
Predictive analysis,204
Trend identification,205
Performance monitoring,206
Financial risk management,207
Business process analysis,208
Visio,209
Smartsheet,210
SNOW,211
SAP,212
Power BI,213
Leadership,214
Bachelor's degree,215
Professional certification,216
Graduate degree,217
System Design,218
Multimodal Input,219
Prototyping,220
Data Management,221
Scalability,222
Reliability,223
Performance,224
Distributed Systems,225
Infrastructure Design,226
Complex Systems,227
Software Engineering,228
ML Pipeline Automation,229
ML Workflows,230
ML Systems,231
Database Administration,232
Advanced Statistical Analysis,233
Forecasting Techniques,234
Data Abnormalities Detection,235
Contact Workforce Management,236
Crossfunctional Collaboration,237
Performance Analytics,238
Root Cause Analysis,239
Forecasting and Scheduling,240
Service Level Management,241
Hindsight Analysis,242
Business Communication,243
Problemsolving,244
Decisionmaking,245
ACD,246
BackOffice Work Routing,247
WFM Software,248
Bachelor's degree in business accounting finance statistics or economics,249
Master Data Analyst,250
Data/Master Data Experience,251
Polished People/Senior Stakeholder Engagement,252
Data Ingestion Pipelines,253
Business Process Workflow,254
Data Matching & Deduplication,255
Standardization,256
SemiAgile Delivery Framework,257
MDM Strategies,258
MDM Policies,259
MDM Functional Implementation,260
MDM Requirement Analysis,261
Deterministic Matching,262
Probabilistic Matching,263
Master Data Hierarchy Management,264
HighLevel Design,265
Data Scorecard Development,266
Exception Management,267
LargeScale MDM Project Implementation,268
Thought Leadership,269
Data Quality Analysis,270
Data Governance Policies,271
ETL Flows,272
